date,source,keyword,link,snippet
2026-01-28 16:56,Exploit-DB,sql,https://www.exploit-db.com/exploits/52465,[webapps] WordPress Quiz Maker 6.7.0.56 - SQL Injection
2026-01-28 16:56,Exploit-DB,sql,https://www.exploit-db.com/exploits/52462,[webapps] Summar Employee Portal  3.98.0 - Authenticated SQL Injection
2026-01-28 16:56,Exploit-DB,sql,https://www.exploit-db.com/exploits/52456,[webapps] Django 5.1.13 - SQL Injection
2026-01-28 16:56,HackerNews,rce,https://www.himthe.dev/blog/microsoft-to-linux,Microsoft forced me to switch to Linux
